phase,model_label,seed_count,f1_mean,roc_auc_mean
Cold,DGD-Ablation:selected,5,0.6156011017354409,0.7323647277390843
Warm A,EmerG,5,0.6785089272294427,0.7930473175850857
Warm B,EmerG,5,0.6913441886609822,0.8011108273519717
Warm C,EmerG,5,0.6942041370202773,0.8039138243710718
