split,phase,seeds,graph_distance_from_previous_mean,score_change_from_cold_mean,embedding_delta_norm_mean,guidance_support_loss_improvement_mean,embedding_support_loss_improvement_mean
validation,Warm A,5,0.0009287122243926795,0.15431407280397458,0.2526012583307817,2.418619803559612e-06,0.19434631825359144
validation,Warm B,5,0.0008776991756823122,0.16657917368632386,0.3500845617286756,2.511548744121068e-06,0.048181561884326
validation,Warm C,5,0.0008483001903276628,0.1658074968914226,0.41586905673775876,2.181456542350876e-06,0.02302444722031204
evaluation,Warm A,5,0.0009107771754284335,0.1904312646452396,0.25735782712385913,-1.6393336950172306e-06,0.2251400165763045
evaluation,Warm B,5,0.0008640684663678924,0.20637427341914613,0.35541097849763503,-4.7198930726001403e-07,0.047753376293956686
evaluation,Warm C,5,0.0008317925510513572,0.2087837527782037,0.4199158923164088,-1.1576517090123362e-06,0.02196838440929408
