scenario,seeds,emerg_f1_mean,emerg_f1_std,emerg_gd_v2_f1_mean,emerg_gd_v2_f1_std,f1_delta_mean,f1_relative_change_pct,emerg_auc_mean,emerg_gd_v2_auc_mean,auc_delta_mean,f1_seed_wins,auc_seed_wins
Cold,5,0.6128564492391579,0.003767829983940888,0.6130978582147069,0.004553969519237906,0.00024140897554900676,0.039390786512668606,0.7380002666842966,0.7379933305394408,-6.936144855984594e-06,2,1
Warm A,5,0.6785089272294427,0.001678941767724048,0.6876322409628544,0.0007486285573575167,0.009123313733411752,1.3446121881792976,0.7930473175850857,0.7975471251046617,0.004499807519575905,5,5
Warm B,5,0.6913441886609822,0.001609673595639024,0.69415941954716,0.001058798341471578,0.0028152308861777,0.4072111883417107,0.8011108273519716,0.8039632345828046,0.0028524072308330206,5,5
Warm C,5,0.6942041370202774,0.0008096656097449463,0.6974193625864251,0.000841153392138807,0.0032152255661477723,0.46315275214987844,0.8039138243710718,0.8082511646285944,0.004337340257522615,5,5
Overall mean across scenarios,5,0.669228425537465,0.03400089071056598,0.6730772203277866,0.0357803005918693,0.003848794790321558,0.5751092815925365,0.7840180589981065,0.7869387137138754,0.002920654715768889,17,16
