config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,sparsemax_scale,fusion_logit_init,modulation_gate_init,power_prior_bias,id_dropout,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G3_D32,0.7880501677535279,0.7511318783255272,2.283203977975063,32,96,3,0.001,0.01,1e-06,5.0,-2.0,0.1,4.0,0.3,4,262144,4096,3
cfg01_G2_D16,0.7877194180018002,0.7511330243344432,1.8806450339616276,16,64,2,0.001,0.01,1e-06,5.0,-2.0,0.1,4.0,0.3,4,262144,4096,3
