split,item_id,item_idx,phase,base_graph_mean,fused_graph_mean,fused_graph_std,fused_density_gt_1e_6,fused_diag_mean,sparse_branch_density_gt_1e_6,sparse_branch_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,-0.0876244604587555,0.4929826557636261,0.1979113072156906,1.0,1.0,0.35802469135802467,5.960464477539063e-08,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,1,0,Warm A,-0.09034957736730576,0.492044061422348,0.1979479193687439,1.0,1.0,0.37037037037037035,1.1920928955078125e-07,0.20463500916957855,0.4677790701389313,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,1,0,Warm B,-0.07944416999816895,0.49599629640579224,0.19878408312797546,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.3022352159023285,0.3213714063167572,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,1,0,Warm C,-0.09389615058898926,0.49146026372909546,0.19795697927474976,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.3137465715408325,0.5899741053581238,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,5,4,Cold,-0.06381282955408096,0.49980446696281433,0.1931733638048172,1.0,1.0,0.4074074074074074,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,5,4,Warm A,-0.03607936576008797,0.5066608190536499,0.19053736329078674,1.0,1.0,0.4074074074074074,1.1920928955078125e-07,0.2559908628463745,0.4528768062591553,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,5,4,Warm B,-0.0123570142313838,0.5130783915519714,0.18843227624893188,1.0,1.0,0.345679012345679,1.1920928955078125e-07,0.44888368248939514,0.4652835428714752,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,5,4,Warm C,0.013817165046930313,0.5189085602760315,0.18534539639949799,1.0,1.0,0.32098765432098764,5.960464477539063e-08,0.660910964012146,0.3533357083797455,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,7,6,Cold,-0.0645175650715828,0.49885037541389465,0.19184865057468414,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,7,6,Warm A,-0.07686067372560501,0.49485525488853455,0.1914878934621811,1.0,1.0,0.3950617283950617,1.1920928955078125e-07,0.23836109042167664,0.6809965372085571,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,7,6,Warm B,-0.057463139295578,0.4987047016620636,0.19015906751155853,1.0,1.0,0.41975308641975306,5.960464477539063e-08,0.3007392883300781,0.5700998306274414,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,7,6,Warm C,-0.04820200800895691,0.5005539059638977,0.18940161168575287,1.0,1.0,0.43209876543209874,1.1920928955078125e-07,0.43886294960975647,0.6301096081733704,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,11,10,Cold,-0.0595688633620739,0.5005366206169128,0.19121894240379333,1.0,1.0,0.43209876543209874,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,11,10,Warm A,-0.056635137647390366,0.5019451975822449,0.19272509217262268,1.0,1.0,0.41975308641975306,2.980232238769531e-07,0.22383710741996765,0.5051409006118774,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,11,10,Warm B,-0.06670372933149338,0.4984044134616852,0.19340288639068604,1.0,1.0,0.4074074074074074,1.1920928955078125e-07,0.25092360377311707,0.6101224422454834,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,11,10,Warm C,-0.05101409927010536,0.5030661821365356,0.19279155135154724,1.0,1.0,0.3950617283950617,1.1920928955078125e-07,0.3708406686782837,0.5306032299995422,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,17,16,Cold,-0.0636507123708725,0.49916374683380127,0.19138117134571075,1.0,1.0,0.41975308641975306,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,17,16,Warm A,-0.05830606818199158,0.5018928647041321,0.19337722659111023,1.0,1.0,0.4074074074074074,2.384185791015625e-07,0.24683643877506256,0.4299606382846832,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,17,16,Warm B,-0.04553498327732086,0.5055031776428223,0.1945706307888031,1.0,1.0,0.30864197530864196,1.1920928955078125e-07,0.4758320748806,0.2747146785259247,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,17,16,Warm C,-0.023303868249058723,0.5106433033943176,0.19243223965168,1.0,1.0,0.2962962962962963,1.1920928955078125e-07,0.6434565782546997,0.2633337080478668,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,41,36,Cold,-0.04523270204663277,0.5054361820220947,0.19249282777309418,1.0,1.0,0.38271604938271603,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,41,36,Warm A,-0.06748339533805847,0.4991561472415924,0.19353432953357697,1.0,1.0,0.4074074074074074,1.1920928955078125e-07,0.25294917821884155,0.7648177146911621,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,41,36,Warm B,-0.07657968252897263,0.49629437923431396,0.19383373856544495,1.0,1.0,0.38271604938271603,1.1920928955078125e-07,0.39840152859687805,0.5114111304283142,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,41,36,Warm C,-0.07967782765626907,0.4944778382778168,0.19412930309772491,1.0,1.0,0.3950617283950617,1.1920928955078125e-07,0.5850839018821716,0.6141557097434998,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,104,76,Cold,-0.0643225684762001,0.49977177381515503,0.19319646060466766,1.0,1.0,0.4074074074074074,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,104,76,Warm A,-0.06260613352060318,0.500402569770813,0.19372229278087616,1.0,1.0,0.3950617283950617,2.384185791015625e-07,0.21756434440612793,0.6042367219924927,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,104,76,Warm B,-0.0683402419090271,0.5004685521125793,0.19629962742328644,1.0,1.0,0.30864197530864196,1.1920928955078125e-07,0.35458406805992126,0.5653750896453857,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
validation,104,76,Warm C,-0.0619659498333931,0.5014791488647461,0.19349618256092072,1.0,1.0,0.4074074074074074,1.1920928955078125e-07,0.3423868715763092,0.5898820161819458,cfg02_G3_D32,cfg02_G3_D32,2.239365618035663,cuda
