scenario,seeds,emerg_f1_mean,emerg_f1_std,emerg_gd_f1_mean,emerg_gd_f1_std,f1_delta_mean,f1_relative_change_pct,emerg_auc_mean,emerg_gd_auc_mean,auc_delta_mean
Cold,5,0.613271896623241,0.00342196585218658,0.6174358920893057,0.0027914444353352237,0.004163995466064852,0.6789803167228512,0.7379855804126997,0.7371734614307255,-0.0008121189819741082
Warm A,5,0.6790180550989703,0.0020834659670527123,0.6176318239612644,0.0028271496549041784,-0.06138623113770596,-9.040441660827202,0.7929240853240467,0.7372806878377498,-0.05564339748629701
Warm B,5,0.6908921392706155,0.0016255374467297019,0.6171943618442063,0.0028548987580422538,-0.07369777742640919,-10.667045293671025,0.8008671381371648,0.7373033894015847,-0.06356374873558027
Warm C,5,0.6937846381896401,0.0014700908927033152,0.6175313814506077,0.002658132558041193,-0.07625325673903242,-10.99091166648017,0.8037269787449983,0.737285397991328,-0.06644158075367027
Overall mean across scenarios,5,0.6692416822956169,0.03370138494970208,0.6174483648363461,0.0025601225482313,-0.05179331745927068,-7.739105143841381,0.7838759456547273,0.737260734165347,-0.04661521148938041
