config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,n_layers,learning_rate,weight_decay,epochs,sample_size
cfg02_L3_D64,0.7593823063441107,0.48473524371459886,4.807129501015879,64,3,0.003,0.0001,12,65536
cfg01_L2_D64,0.759380916858244,0.4964423018473389,4.079689498001244,64,2,0.003,0.0001,12,65536
