phase,base_train_edges,support_edges,graph_edges,query_rows,query_users,query_items,threshold,final_training_seconds,device
Cold,854530,0,854530,57569,3881,955,-0.02548523247241974,5.166519226972014,cpu
Warm A,854530,19100,873630,57569,3881,955,-0.021361853927373886,5.166519226972014,cpu
Warm B,854530,38200,892730,57569,3881,955,-0.01865692064166069,5.166519226972014,cpu
Warm C,854530,57300,911830,57569,3881,955,-0.017931729555130005,5.166519226972014,cpu
