config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,sparsemax_scale,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G3_D32,0.7895819799724592,0.7514423705352318,2.1832483299658634,32,96,3,0.001,0.01,1e-06,5.0,4,262144,4096,3
cfg01_G2_D16,0.788576179639369,0.7486376820870034,1.8484393400140107,16,64,2,0.001,0.01,1e-06,5.0,4,262144,4096,3
