split,item_id,item_idx,phase,base_graph_mean,diffused_graph_mean,diffused_graph_std,diffused_density_gt_1e_6,diffused_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,-0.001749437884427607,0.1111110970377922,0.06133008748292923,1.0,1.7881393432617188e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,1,0,Warm A,-0.0021560494787991047,0.1111111119389534,0.06345054507255554,1.0,3.5762786865234375e-07,0.2431362122297287,0.46671637892723083,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,1,0,Warm B,-0.004275929648429155,0.111111119389534,0.07245055586099625,0.9753086419753086,2.384185791015625e-07,0.40304437279701233,0.36624523997306824,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,1,0,Warm C,-0.0014960785629227757,0.1111111119389534,0.06368616223335266,0.9876543209876543,1.1920928955078125e-07,0.2835357189178467,0.5306318402290344,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,5,4,Cold,-0.0008527430472895503,0.1111111119389534,0.0672997534275055,0.9876543209876543,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,5,4,Warm A,0.000946636835578829,0.1111111119389534,0.09477891027927399,0.9012345679012346,1.1920928955078125e-07,0.25018954277038574,0.5178210139274597,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,5,4,Warm B,0.003237432101741433,0.1111111119389534,0.12149249017238617,0.8024691358024691,2.384185791015625e-07,0.3663940131664276,0.5989689826965332,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,5,4,Warm C,0.0010986626148223877,0.111111119389534,0.10902637243270874,0.8271604938271605,2.384185791015625e-07,0.4451616704463959,0.49628400802612305,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,7,6,Cold,-0.0011858437210321426,0.1111111119389534,0.0673159584403038,0.9876543209876543,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,7,6,Warm A,-0.003361016046255827,0.1111111119389534,0.07054373621940613,0.9629629629629629,1.1920928955078125e-07,0.24180547893047333,0.6916362643241882,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,7,6,Warm B,-0.0016301837749779224,0.1111111119389534,0.07630681991577148,0.9506172839506173,1.1920928955078125e-07,0.31756120920181274,0.7052443027496338,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,7,6,Warm C,-0.000527353840880096,0.1111111119389534,0.08596786111593246,0.9012345679012346,2.384185791015625e-07,0.40202465653419495,0.662826657295227,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,11,10,Cold,-0.0012274723267182708,0.1111110970377922,0.06582050770521164,0.9876543209876543,1.7881393432617188e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,11,10,Warm A,-0.0027008000761270523,0.1111110970377922,0.06595004349946976,0.9876543209876543,1.1920928955078125e-07,0.23891262710094452,0.5221630334854126,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,11,10,Warm B,8.174915274139494e-05,0.1111110970377922,0.071117103099823,0.9876543209876543,2.980232238769531e-07,0.33766287565231323,0.6852672696113586,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,11,10,Warm C,-0.0017898248042911291,0.1111111119389534,0.07047666609287262,1.0,1.1920928955078125e-07,0.36767521500587463,0.5361000895500183,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,17,16,Cold,-0.001883869175799191,0.1111111119389534,0.06439847499132156,1.0,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,17,16,Warm A,-0.004532574210315943,0.1111111119389534,0.06787782162427902,1.0,1.1920928955078125e-07,0.2374662458896637,0.496725469827652,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,17,16,Warm B,-0.006486347410827875,0.111111119389534,0.0771227702498436,0.9753086419753086,2.384185791015625e-07,0.3793496787548065,0.3208126127719879,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,17,16,Warm C,-0.007807785179466009,0.1111111119389534,0.07752453535795212,0.9506172839506173,1.1920928955078125e-07,0.42171210050582886,0.3465460538864136,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,41,36,Cold,0.0006915170815773308,0.1111111119389534,0.07816458493471146,0.9629629629629629,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,41,36,Warm A,0.0001676676911301911,0.1111111119389534,0.06599137932062149,0.9876543209876543,1.1920928955078125e-07,0.2360626608133316,0.6572599411010742,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,41,36,Warm B,-0.0015022833831608295,0.1111111119389534,0.0700531005859375,0.9629629629629629,1.1920928955078125e-07,0.3930361270904541,0.4492649734020233,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,41,36,Warm C,-0.0006309542804956436,0.111111119389534,0.072933629155159,0.9876543209876543,2.384185791015625e-07,0.4412895739078522,0.6387807726860046,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,104,76,Cold,-0.0007138620712794363,0.1111111119389534,0.0671812891960144,0.9876543209876543,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,104,76,Warm A,-0.003447247203439474,0.1111111119389534,0.06908249109983444,1.0,2.384185791015625e-07,0.22541896998882294,0.6506640315055847,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,104,76,Warm B,-0.0005774631281383336,0.111111119389534,0.0700889527797699,0.9753086419753086,2.384185791015625e-07,0.2689780592918396,0.5960922241210938,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,104,76,Warm C,0.000977058196440339,0.1111111119389534,0.0723729208111763,0.9629629629629629,1.1920928955078125e-07,0.3437518775463104,0.5908159613609314,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,107,78,Cold,-0.0007783277542330325,0.1111110970377922,0.06231100112199783,1.0,3.5762786865234375e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,107,78,Warm A,-0.0010793162509799004,0.1111111119389534,0.0644727572798729,0.9753086419753086,2.384185791015625e-07,0.23290865123271942,0.7147461175918579,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,107,78,Warm B,0.0003778741811402142,0.1111110970377922,0.07586245238780975,0.9382716049382716,2.384185791015625e-07,0.2590404152870178,0.5668588280677795,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,107,78,Warm C,0.003175880527123809,0.1111111119389534,0.10402161628007889,0.8148148148148148,1.7881393432617188e-07,0.3171120285987854,0.5592765808105469,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,110,79,Cold,-0.0004759939620271325,0.1111110970377922,0.0695553719997406,0.9876543209876543,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,110,79,Warm A,-0.0025733241345733404,0.1111111119389534,0.06322745233774185,1.0,3.5762786865234375e-07,0.2449488341808319,0.415498822927475,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,110,79,Warm B,-0.001841241610236466,0.1111111119389534,0.06325933337211609,0.9876543209876543,1.7881393432617188e-07,0.31154364347457886,0.4593680799007416,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,110,79,Warm C,-0.003390611382201314,0.1111111119389534,0.059349022805690765,1.0,2.384185791015625e-07,0.3578667640686035,0.5262797474861145,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,111,80,Cold,-0.001578665804117918,0.1111111119389534,0.11032206565141678,0.9135802469135802,3.5762786865234375e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,111,80,Warm A,-0.003192576812580228,0.1111111119389534,0.10224089026451111,0.9259259259259259,2.384185791015625e-07,0.2396167814731598,0.7067339420318604,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,111,80,Warm B,-0.004936812911182642,0.1111111119389534,0.10241042077541351,0.9506172839506173,2.384185791015625e-07,0.3609750270843506,0.29761770367622375,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
validation,111,80,Warm C,-0.00786030013114214,0.111111119389534,0.1010197177529335,0.9012345679012346,2.384185791015625e-07,0.4820546507835388,0.28810954093933105,cfg02_G3_D32,cfg02_G3_D32,2.171714791969862,cuda
