config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,sparsemax_scale,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G3_D32,0.7893374501480431,0.7521376998663735,1.8675377539475448,32,96,3,0.001,0.01,1e-06,5.0,4,262144,4096,3
cfg01_G2_D16,0.7884322588754343,0.7485400382651284,1.5376420830143616,16,64,2,0.001,0.01,1e-06,5.0,4,262144,4096,3
