config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,n_layers,learning_rate,weight_decay,epochs,sample_size
cfg02_L3_D64,0.7593781470314975,0.5033091999742108,2.492941320000682,64,3,0.003,0.0001,12,65536
cfg01_L2_D64,0.759374010216595,0.5069415949469701,2.5135297250235453,64,2,0.003,0.0001,12,65536
