config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,n_layers,learning_rate,weight_decay,epochs,sample_size
cfg01_L2_D64,0.7593794064732424,0.4965802555892825,3.2991611189791,64,2,0.003,0.0001,12,65536
cfg02_L3_D64,0.7593747811077186,0.4964640864618758,2.5486396410269663,64,3,0.003,0.0001,12,65536
