config_name,mean_validation_f1,mean_validation_auc,training_seconds,embedding_dim,hidden_dim,gnn_layers,learning_rate,warm_learning_rate,weight_decay,epochs,epoch_sample_rows,batch_size,warm_steps
cfg02_G2_D32,0.7902362876149208,0.7558749131564418,1.300363391987048,32,96,2,0.001,0.01,1e-06,4,262144,4096,3
cfg01_G2_D16,0.789944826677198,0.7539287993423905,1.7558880109572783,16,64,2,0.001,0.01,1e-06,4,262144,4096,3
