family,model_label,seed,bundle_id,schema_version,protocol_pointer_sha256,source_status,split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name,variant
dgd,DGD,2025,20260716T183942-s2025-05eb95bfbddd,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3046811521053314,0.5005992808629645,0.4482234804395431,0.9667673716012084,0.6124814665049197,0.7329667895590712,0.8804912366030329,0.5639886133875321,0.200616920272371,22720,27969,781,6099,cfg02_G3_D32,
dgd,DGD,2025,20260716T183942-s2025-05eb95bfbddd,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.360815167427063,0.6573676805225034,0.5518368019328977,0.8552402025445726,0.6708275620379488,0.7821320242196445,0.6326668866924907,0.4766384647670359,0.239405413105739,20099,16323,3402,17745,cfg02_G3_D32,
dgd,DGD,2025,20260716T183942-s2025-05eb95bfbddd,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3619002103805542,0.7040768469141379,0.6036822016229914,0.8008595378920046,0.6884304473462819,0.7962946308066191,0.5415588250620994,0.4300553010970672,0.264566814814968,18821,12356,4680,21712,cfg02_G3_D32,
dgd,DGD,2025,20260716T183942-s2025-05eb95bfbddd,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3683565855026245,0.7149333842866821,0.619787794823275,0.7804774264924896,0.6909125153027592,0.8015085619828058,0.5140613872049193,0.4148891808114443,0.2734908237248496,18342,11252,5159,22816,cfg02_G3_D32,
dgd,DGD,3407,20260716T184238-s3407-40504d8913cd,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3201373517513275,0.505654084663621,0.4506470236910213,0.9631930556146548,0.6140158142436695,0.7333918443546531,0.8725181955566363,0.5691871023667412,0.1984748395787453,22636,27594,865,6474,cfg02_G3_D32,
dgd,DGD,3407,20260716T184238-s3407-40504d8913cd,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.363426148891449,0.652851360975525,0.5475726578990096,0.8610271903323263,0.6694235381688859,0.7810101443501012,0.6419079713040005,0.4812556191976731,0.236796258180678,20235,16719,3266,17349,cfg02_G3_D32,
dgd,DGD,3407,20260716T184238-s3407-40504d8913cd,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3576270639896393,0.7007938300126805,0.599234710012017,0.8063061146334198,0.6875170074197704,0.7956367974259058,0.5492886796713509,0.433201995068791,0.2612897592800647,18949,12673,4552,21395,cfg02_G3_D32,
dgd,DGD,3407,20260716T184238-s3407-40504d8913cd,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3683131635189056,0.7141517135958588,0.6178684959009536,0.7857112463299434,0.6917543925373694,0.8010259370475278,0.5191161910055759,0.4182905369754598,0.2706725038442153,18465,11420,5036,22648,cfg02_G3_D32,
dgd,DGD,4517,20260716T184336-s4517-7fa86b77c92c,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3320128917694092,0.5185950772116938,0.4569407820772265,0.9511935662312242,0.617326226837149,0.7296590879245172,0.8497802636835797,0.5577046795798146,0.200035208172262,22354,26567,1147,7501,cfg02_G3_D32,
dgd,DGD,4517,20260716T184336-s4517-7fa86b77c92c,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3441456258296966,0.6414389688895065,0.5373169394627614,0.875835070848049,0.6660302873414444,0.7804982475420907,0.6654102034080842,0.4817354790845344,0.2350978665611006,20583,17724,2918,16344,cfg02_G3_D32,
